Acceptance,,CAT_001
Act As If,,CAT_006
Adversity,,CAT_001
Amends,,CAT_001
Anger,,CAT_001
Anniversaries,,CAT_007
Anonymity,,CAT_001
Asking for Help,,CAT_004
Attraction rather than promotion,,CAT_001
Balance,,CAT_001
Boredom with the Program,,CAT_001
Breaking My Anonymity,,CAT_001
Bring the Body and the Mind Will Follow,,CAT_005
But for the Grace of God,,CAT_001
Carrying the Message,,CAT_004
Change,,CAT_001
"Changing Routines, Changing People, Places",and Things (to avoid drinking),CAT_001
Character Defects,,CAT_001
Clarity of Thought,,CAT_001
Compassion,,CAT_001
Complacency,,CAT_001
Completely Giving Myself,to This Simple Program,CAT_001
Contempt Prior to Investigation (having a,conclusion before you have all the facts),CAT_001
Contrary Action,,CAT_001
Courage,,CAT_001
Courage to Change the,Things I Can (Serenity Prayer),CAT_008
"Cunning, Baffling, Powerful",,CAT_001
Dealing with Difficult People,,CAT_001
Denial,,CAT_001
"Detaching, Detaching with Love",,CAT_001
Disappointment,,CAT_001
Discipline,,CAT_001
Disease Concept,,CAT_001
Disease of More,,CAT_001
Do the Next Right Thing,,CAT_001
"Don’t Drink, and Go To Meetings",,CAT_001
Don’t Drink NO MATTER WHAT,,CAT_006
Don’t Quit Before the Miracle Happens,,CAT_001
Drinking Occasions,,CAT_001
Drugs (Problems Other Than Alcohol),,CAT_001
Dry Drunks,,CAT_001
Easy Does It,,CAT_005
Economic Insecurity,,CAT_001
Ego (Ego smashing),,CAT_001
Emotional Sobriety,,CAT_001
Enjoying Life,,CAT_001
Expectations,,CAT_001
Faith without works is dead,,CAT_001
Fake It Till You Make It,,CAT_001
Fear,,CAT_001
Fellowship,,CAT_004
Feelings and Emotions,,CAT_001
Feeling Different,,CAT_001
Forgiving Others,,CAT_001
Forgiving Ourselves,,CAT_001
Freedom,,CAT_001
Freedom from Bondage,,CAT_001
First Drink Gets You Drunk,,CAT_001
First Things First,,CAT_001
First Thought Wrong,,CAT_001
"Fixing Me, Not You",,CAT_001
Freedom,,CAT_001
Friendship,,CAT_001
Fun,,CAT_001
"God, as I Understand God",,CAT_001
Gossip (avoiding gossip),,CAT_001
Gratitude,,CAT_002
"Greed, Gluttony, Having Enough",,CAT_001
Growth through Pain,,CAT_001
Handling Failure,,CAT_001
Handling Success,,CAT_001
Happiness,,CAT_001
"Happy, Joyous and Free",,CAT_001
Higher Power,,CAT_001
Honesty,,CAT_001
Hope,,CAT_001
How Have You Changed?,,CAT_001
How Important Is It?,,CAT_001
How it Works (Twelve Step Recovery),,CAT_001
Humility,,CAT_001
"Hungry, Angry, Lonely, Tired (HALT)",,CAT_001
I Am Responsible,,CAT_001
Identification (identifying,with people/program),CAT_001
"If you spot it, you got it",,CAT_001
Insanity,,CAT_001
Insidious (Patiently Waiting for,a Chance to Ensnare),CAT_001
Integrity,,CAT_001
Inventory (Taking My Own),,CAT_001
Inventory (Taking That of Others),,CAT_001
Isolating,,CAT_001
It Is What It Is,,CAT_001
Jealousy,,CAT_001
"Joy, The Joy of Living",,CAT_001
Keep it Simple,,CAT_001
Let Go and Let God,,CAT_005
Letting Go (of Outcomes),,CAT_001
Letting Go (of the Past),,CAT_001
Letting Go (of,"People, Places and Things)",CAT_001
Life on Life’s Terms,,CAT_001
Literature as a Tool (Using the,"Big Book, Twelve and Twelve, meditations, etc)",CAT_001
Live and Let Live,,CAT_001
"Living in the Moment, Living in","the Present, Living in the Now",CAT_001
Loss,,CAT_001
Love,,CAT_001
Meditation,,CAT_001
Meetings,,CAT_001
"Mental, Spiritual and Physical Disease",,CAT_001
Moderation,,CAT_001
Money,,CAT_001
Next Indicated Step,,CAT_001
One Day at a Time,,CAT_005
Only requirement for membership is,a desire to stop drinking.,CAT_001
Organized Religion,,CAT_001
Other Addictions/ fellowships,,CAT_001
Our Primary Purpose,,CAT_001
Pain is the great,touchstone of spiritual growth,CAT_001
Patience,,CAT_001
Perceptions vs. Reality,,CAT_001
Perseverance through difficulty,,CAT_001
Physical Illness (Problems,Other Than Alcohol),CAT_001
Powerlessness,,CAT_001
Practicing These Principles,in All Our Affairs,CAT_001
Prayer,,CAT_001
Pride,,CAT_001
Pride in Reverse,,CAT_001
Principles Before Personalities,,CAT_001
Problems Other Than Alcohol,,CAT_001
Projection (Thinking About Outcomes that are,"in the Future, Good and Bad)",CAT_001
"Progress, Not Perfection",,CAT_001
Progression,,CAT_001
Promises,,CAT_001
Relapse,,CAT_001
Relationships,,CAT_001
"Relaxing, Relaxation",,CAT_001
Remembering Your Last Drunk,,CAT_001
Resentment,,CAT_001
Responsibility,,CAT_001
"Restless, Irritable",and Discontented (RID),CAT_001
Restraint of Tongue and Pen,,CAT_001
Rule 62 – “Don’t,take yourself too damn seriously”,CAT_001
Sanity,,CAT_001
Secrets (You’re Only as,Sick as Your Secrets),CAT_001
Self-Acceptance,,CAT_001
Self-Centeredness,,CAT_001
Self Esteem,,CAT_001
Self-Pity,,CAT_001
Self-Supporting,,CAT_001
Selfishness,,CAT_001
Serenity,,CAT_001
Serenity Prayer,,CAT_008
Service,,CAT_001
Sick and Tired of Being Sick and Tired,,CAT_006
Slips,,CAT_001
Slogans/AA Sayings,,CAT_001
Spiritual Awakening,,CAT_001
Spiritual Part of the Program,,CAT_001
Spirituality,,CAT_001
Sponsorship,,CAT_004
Staying Away from the First Drink,,CAT_001
Staying in the Now,,CAT_001
Step 1: We admitted we were powerless,"over alcohol, that our lives had become unmanageable.",CAT_003
Step 2: Came to believe that a Power,greater than ourselves could restore us to sanity.,CAT_003
Step 3: Made a decision to turn our will and our,lives over to the care of God as we understood Him.,CAT_003
Step 4: Made a searching,and fearless moral inventory of ourselves.,CAT_003
"Step 5: Admitted to God, to ourselves, and to",another human being the exact nature of our wrongs.,CAT_003
Step 6: Were entirely ready to have,God remove all these defects of character.,CAT_003
Step 7: Humbly asked,Him to remove our shortcomings.,CAT_003
Step 8: Made a list of all persons we had,"harmed, and became willing to make amends to them all.",CAT_003
"Step 9: Made direct amends to such people wherever possible,",except when to do so would injure them or others.,CAT_003
"Step 10: Continued to take personal inventory,","and when we were wrong, promptly admitted it.",CAT_003
Step 11: Sought through prayer and meditation to improve our conscious contact with God as we understood,"Him, praying only for knowledge of His will for us and the power to carry that out.",CAT_003
"Step 12: Having had a spiritual awakening as the result of these steps, we tried","to carry this message to alcoholics, and to practice these principles in all our affairs.",CAT_003
Stress (Coping with Stress),,CAT_001
Suggestions (Taking the Suggestions),,CAT_001
Surrender,,CAT_001
Taking Risks,,CAT_001
To Thine Own Self Be True,,CAT_001
"Think, Think, Think",,CAT_001
This Too Shall Pass,,CAT_001
Time (Time Takes Time),,CAT_001
Tolerance,,CAT_001
Trust,,CAT_001
Trust the process,,CAT_001
Turning it Over,,CAT_001
Twenty-four Hours a Day (one,"hour, one minute at a time)",CAT_001
Unmanageability,,CAT_001
Using the Telephone,,CAT_001
We are not a glum lot,,CAT_001
We Program,,CAT_001
What Convinced You That,You Had a Problem?,CAT_001
"Unity, Service, and Recovery",,CAT_001
What do You do to Stay Sober?,,CAT_001
Why Are You Here?,,CAT_001
Will power,,CAT_001
Willing to go to Any Lengths,,CAT_001
Willingness,,CAT_001
Wisdom to Know,the Difference (Serenity Prayer),CAT_008
Wreckage of the Past,,CAT_001
Yet’s,,CAT_001